2016-12-23 15:44:27,678 [main] INFO  com.celera.ipc.PipelineSinkCollector.bind(PipelineSinkCollector.java:52) - bind sink tcp://127.0.0.1:20011
2016-12-23 15:44:27,682 [main] INFO  com.celera.ipc.PipelineServer.bind(PipelineServer.java:58) - bind push tcp://127.0.0.1:20010
2016-12-23 15:44:30,815 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:44:32,890 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[LOGIN] result[1]
2016-12-23 15:44:32,892 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:45:25,268 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SOD] result[1]
2016-12-23 15:45:25,269 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:45:25,336 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SUBSCRIBE_MARKET_DATA] result[1]
2016-12-23 15:47:03,325 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:47:17,539 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:48:06,505 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:48:08,583 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[LOGIN] result[1]
2016-12-23 15:48:08,583 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 15:49:01,003 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SOD] result[1]
2016-12-23 15:49:01,003 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
